               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039547,            0.012061,           0.0016246,               0.888,             0.83796,             0.89332,             0.52173,             0.03262,           0.0052683,          5.4476e-05,             0.00307,             0.00307,             0.00307
                  37,            0.038939,            0.012261,           0.0013934,             0.86554,             0.86574,             0.90952,             0.52816,            0.031597,           0.0052225,          4.5702e-05,            0.002872,            0.002872,            0.002872
                  38,            0.038641,            0.012435,           0.0014365,             0.88905,             0.84259,             0.89521,             0.53111,            0.031848,           0.0050963,          4.4256e-05,            0.002674,            0.002674,            0.002674
                  39,            0.037944,            0.012022,           0.0012495,             0.89361,             0.85185,             0.89371,             0.53101,            0.032107,           0.0051435,          5.3676e-05,            0.002476,            0.002476,            0.002476
                  40,            0.037695,            0.012044,           0.0012747,             0.90342,             0.87037,              0.9131,             0.53847,             0.03147,           0.0051073,          4.8898e-05,            0.002278,            0.002278,            0.002278
                  41,            0.037559,            0.012008,           0.0012415,             0.86764,             0.88013,             0.91167,             0.53429,            0.031769,           0.0051308,          3.2678e-05,             0.00208,             0.00208,             0.00208
                  42,            0.037398,            0.011775,           0.0013357,             0.87109,             0.87593,             0.90823,             0.53708,            0.031287,           0.0050756,          3.4124e-05,            0.001882,            0.001882,            0.001882
                  43,            0.036978,            0.011701,             0.00117,             0.89466,             0.86502,             0.91714,              0.5421,            0.031052,            0.005084,          2.8871e-05,            0.001684,            0.001684,            0.001684
                  44,            0.036438,             0.01183,           0.0011895,             0.90802,             0.87037,             0.91481,              0.5389,            0.031064,           0.0050664,          2.3584e-05,            0.001486,            0.001486,            0.001486
                  45,             0.03622,            0.011678,           0.0012199,              0.8988,             0.86345,             0.90932,             0.54983,            0.030871,            0.004986,          2.7186e-05,            0.001288,            0.001288,            0.001288
                  46,            0.035801,            0.011485,           0.0010379,             0.86887,             0.88426,             0.91536,             0.54944,            0.030693,           0.0049904,          2.5053e-05,             0.00109,             0.00109,             0.00109
                  47,             0.03539,            0.011325,           0.0011369,             0.91778,             0.85185,             0.91285,             0.55134,            0.030879,           0.0050255,          2.6721e-05,            0.000892,            0.000892,            0.000892
                  48,            0.035342,            0.011306,           0.0010246,             0.92993,              0.8287,             0.91196,             0.55284,             0.03097,            0.005024,          2.3508e-05,            0.000694,            0.000694,            0.000694
                  49,            0.035357,            0.011527,           0.0011935,             0.89744,             0.87037,             0.91492,             0.54603,            0.030726,           0.0049655,          1.9784e-05,            0.000496,            0.000496,            0.000496
